"10","1","Greater Kailash - 1"
"11","1","East of Kailash"
"12","1","Green Park"
"13","1","Defence Colony"
"14","5","Khan Market"
"15","1","Nizammudin"
"16","5","Connaught Place"
"17","5","Chanakyapuri"
"18","2","Preet Vihar"
"19","2","Mayur Vihar"
"20","6","Kaushambhi"
"21","6","Indirapuram"
"22","3","Kamla Nagar"
"23","3","Civil Lines"
"24","3","Daryaganj"
"25","4","Rajouri Garden"
"26","4","Punjabi Bagh"
"27","7","DLF Phase - 1"
"28","7","Ambience Mall"
"29","7","DLF Phase - 3"
"30","8","Sector 16"
"31","8","Sector 63"
"32","9","Mathura Road"
"33","9","Sector 37"
"34","8","Sector 18"
"35","1","Saket"
"36","1","Vasant Kunj"
"39","7","Mehrauli"
"40","1","Nehru Place"
"43","1","Greater Kailash - 2"
"44","7","MG Road"
"45","4","Raja Garden"
"46","7","DLF Cyber City"
"48","4","Subhash Nagar"
"49","1","Mehrauli"
"50","8","Sector 38A"
"51","1","Malviya Nagar"
"54","1","New Friends Colony"
"55","1","Hauz Khas"
"56","1","Vasant Vihar"
"57","1","Satya Niketan"
"58","1","South Extension - 2"
"60","1","Lajpat Nagar - 2"
"61","1","Kalkaji"
"62","1","Jasola"
"63","1","Lajpat Nagar - 4"
"64","1","Aurobindo Marg"
"65","1","Bhikaji Cama Place"
"67","1","Safdarjung"
"68","1","Chitranjan Park"
"69","1","Khel Gaon Marg"
"70","1","SDA"
"71","1","Sainik Farms"
"72","1","Jungpura"
"73","1","Kailash Colony"
"74","5","Sardar Patel Marg"
"75","1","Suraj Kund"
"76","1","MG Road"
"77","1","Mahipalpur"
"78","1","IGI Airport"
"80","1","Sarita Vihar"
"81","1","Yusuf Sarai"
"82","1","Alaknanda"
"83","1","Lajpat Nagar - 1"
"84","1","RK Puram"
"85","1","South Extension - 1"
"86","1","Okhla Phase - 1"
"87","1","Sarojini Nagar"
"88","1","Geetanjali Enclave"
"89","1","Munirka"
"90","1","Okhla Phase - 2"
"91","1","Panchsheel Park"
"92","1","Friends Colony"
"93","1","Okhla Phase - 3"
"94","1","Qutab Institutional Area"
"95","1","Shanti Niketan Marg"
"96","1","Greater Kailash 3"
"97","1","JNU"
"98","1","Lajpat Nagar - 3"
"99","5","Race Course"
"100","1","Siri Fort Road"
"101","1","Tughlakabad Institutional Area"
"102","3","Rohini"
"103","3","Pitampura"
"105","3","Delhi University"
"106","3","Shalimar Bagh"
"107","3","Ashok Vihar Phase - 1"
"109","3","Prashant Vihar"
"110","3","Model Town 2"
"111","5","Chandni Chowk"
"112","3","Ashok Vihar Phase - 2"
"113","3","Model Town 1"
"115","3","Kashmiri Gate"
"116","3","Model Town 3"
"117","3","Wazirpur"
"118","3","Ashok Vihar Phase - 3"
"119","3","Azadpur"
"120","3","GTB Nagar"
"121","3","Vijay Nagar"
"122","5","Jama Masjid"
"124","5","Paharganj"
"125","5","Lodhi Road"
"126","5","Lodhi Colony"
"127","5","Gole Market"
"128","5","Pandara Road Market"
"129","5","Mansingh Road"
"130","5","Aurangzeb Road"
"131","5","Sundar Nagar"
"134","7","DLF Phase - 2"
"135","7","Sector 14"
"136","7","Sushant Lok"
"138","7","Palam Vihar"
"139","7","Sohna Road"
"140","7","Sector 29"
"141","7","Sector 15"
"142","7","Sector 31"
"143","7","Sector 53"
"144","7","Sector 56"
"145","7","Sector 54"
"146","7","Udyog Vihar"
"147","7","Sector 23"
"148","7","Sector 39"
"149","7","Sector 22"
"150","7","Sector 4"
"151","7","South City 2"
"152","7","DLF Phase - 5"
"153","7","Sector 50"
"154","7","Sector 7"
"155","7","South City 1"
"156","7","Old Rly Road"
"157","7","Sector 17"
"158","7","Sadar Bazar"
"159","7","Sector 44"
"160","7","Sector 45"
"161","7","Sector 43"
"162","7","Golf Course Road"
"163","7","Sector 8"
"164","7","Ardee City"
"165","7","Sector 12"
"166","7","Sikandarpur"
"167","4","Dwarka"
"168","4","Janakpuri"
"169","4","Vikaspuri"
"170","5","Karol Bagh"
"171","4","Paschim Vihar"
"173","4","Jail Road"
"174","4","Tagore Garden"
"175","4","Tilak Nagar"
"176","4","East Patel Nagar"
"177","4","Naraina"
"178","4","Uttam Nagar"
"179","4","Kirti Nagar"
"180","4","West Patel Nagar"
"181","4","Palam"
"182","4","Rajinder Nagar"
"183","4","Delhi Cantt."
"185","4","Rajendra Place"
"186","4","Najafgarh"
"187","4","Moti Nagar"
"189","4","Lawrence Road"
"190","4","Inderlok"
"191","4","Mayapuri Phase - 1"
"192","4","Mayapuri Phase - 2"
"193","4","Nangloi"
"194","4","South Patel Nagar"
